,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
6,12602.0,19801.0,"['Separator.East', 'Separator.West', 'Wellhead.East']","[0.7655508000000001, 0.5791968000000001, 0.5770548000000001]",7199.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
12,34207.0,37806.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.571914, 0.5496372, 0.4746671999999999]",3599.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.West']
15,39609.0,46807.0,"['Wellhead.East', 'Separator.West', 'Separator.East']","[0.582624, 0.5839092, 0.7728336]",7198.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
18,50411.0,57609.0,"['Separator.East', 'Wellhead.West', 'Tank']","[1.1853828000000002, 2.0935908, 0.8786484000000001]",7198.0,3,False,False,['Separator.East' 'Wellhead.East' 'Wellhead.West']
20,61212.0,72011.0,"['Wellhead.East', 'Separator.West', 'Wellhead.West']","[1.3374648, 1.9954872000000008, 2.0576052]",10799.0,3,False,True,['Separator.West' 'Wellhead.East' 'Wellhead.West']
49,120635.0,124234.0,"['Separator.East', 'Wellhead.West', 'Separator.West']","[0.5466384000000001, 0.4656708, 0.5680584000000001]",3599.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.West']
50,126038.0,133237.0,"['Separator.East', 'Separator.West', 'Wellhead.East']","[0.7651224, 0.5783400000000001, 0.5766264]",7199.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
51,136840.0,144039.0,"['Wellhead.West', 'Tank', 'Separator.East']","[2.062746, 1.9355112, 0.7522704]",7199.0,3,False,True,['Separator.East' 'Tank' 'Wellhead.West']
53,147643.0,158442.0,"['Wellhead.West', 'Separator.West', 'Wellhead.East']","[2.0400408, 1.9907748, 1.332324]",10799.0,3,False,True,['Separator.West' 'Wellhead.East' 'Wellhead.West']
60,183648.0,187247.0,"['Separator.East', 'Tank', 'Separator.West']","[0.6001884, 1.3203288, 0.6276060000000001]",3599.0,3,False,False,['Separator.East' 'Tank' 'Wellhead.East']
67,207061.0,210659.0,"['Wellhead.West', 'Separator.West', 'Separator.East']","[0.4682412000000001, 0.5552064000000001, 0.5342148000000001]",3598.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.West']
69,212463.0,219662.0,"['Separator.West', 'Separator.East', 'Wellhead.East']","[0.5667732000000001, 0.7531272, 0.5650596]",7199.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
70,223265.0,230464.0,"['Separator.East', 'Wellhead.West', 'Tank']","[1.1648196000000004, 2.0644596, 3.3226704]",7199.0,3,False,True,['Separator.East' 'Tank' 'Wellhead.West']
72,234067.0,244866.0,"['Wellhead.West', 'Wellhead.East', 'Separator.West']","[2.0408976, 1.3267548, 1.9774944]",10799.0,3,False,True,['Separator.West' 'Wellhead.East' 'Wellhead.West']
76,270002.0,273600.0,"['Separator.West', 'Tank', 'Separator.East']","[0.6318900000000001, 1.3297536000000003, 0.604044]",3598.0,3,False,True,['Separator.East' 'Separator.West' 'Tank']
83,293407.0,297005.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.5710572, 0.5509224, 0.4639572]",3598.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.West']
86,298809.0,306008.0,"['Separator.West', 'Wellhead.East', 'Separator.East']","[0.5813388000000002, 0.5796252000000001, 0.7728336]",7199.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
88,309611.0,316809.0,"['Separator.East', 'Wellhead.West', 'Tank']","[1.1840976, 2.0781684, 3.345804]",7198.0,3,False,True,['Separator.East' 'Tank' 'Wellhead.West']
197,628206.0,646205.0,"['Separator.West', 'Wellhead.East', 'Separator.East']","[0.5059404000000001, 0.5736276, 0.5706288]",17999.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
215,862225.0,869423.0,"['Wellhead.East', 'Wellhead.West', 'Separator.West']","[0.3392928, 0.6588792000000001, 0.3701376]",7198.0,3,False,True,['Separator.West' 'Wellhead.East' 'Wellhead.West']
