,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
221,948631.0,970230.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.6027588, 0.3782772, 0.6588792000000001]",21599.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.West']
236,1179048.0,1193446.0,"['Separator.West', 'Separator.East', 'Tank']","[1.7444448, 1.1082708000000003, 2.127006]",14398.0,3,False,False,['Separator.West' 'Tank' 'Wellhead.West']
241,1226287.0,1233485.0,"['Separator.West', 'Wellhead.West', 'Separator.East']","[0.4172616, 0.3487176, 0.4446792000000001]",7198.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.West']
247,1294690.0,1316288.0,"['Tank', 'Separator.East', 'Wellhead.West']","[0.1747872, 0.4708116, 0.6665904]",21598.0,3,False,True,['Separator.East' 'Tank' 'Wellhead.West']
257,1406301.0,1409900.0,"['Wellhead.East', 'Separator.East', 'Separator.West']","[0.5534928000000001, 0.550494, 0.5714855999999999]",3599.0,3,False,False,['Separator.West' 'Wellhead.East' 'Wellhead.West']
258,1417104.0,1420703.0,"['Separator.East', 'Wellhead.East', 'Separator.West']","[0.4356828, 0.4408236, 0.3872736]",3599.0,3,False,False,['Separator.East' 'Wellhead.East' 'Wellhead.West']
265,1471112.0,1485510.0,"['Wellhead.East', 'Separator.East', 'Wellhead.West']","[0.3380076, 0.3560004, 0.6588792000000001]",14398.0,3,False,True,['Separator.East' 'Wellhead.East' 'Wellhead.West']
272,1546718.0,1553401.0,"['Separator.East', 'Wellhead.East', 'Separator.West']","[1.1254068000000002, 1.2419315999999998, 1.7752896]",6683.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
274,1568319.0,1579117.0,"['Separator.East', 'Wellhead.East', 'Separator.West']","[0.3654252, 0.3452904, 0.3123036]",10798.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
277,1586321.0,1589919.0,"['Wellhead.East', 'Separator.West', 'Tank']","[0.3461472, 0.3774204, 0.1824984]",3598.0,3,False,False,['Separator.East' 'Separator.West' 'Wellhead.East']
280,1607924.0,1622323.0,"['Separator.West', 'Separator.East', 'Tank']","[0.3589992000000001, 0.3440052, 0.2578968]",14399.0,3,False,True,['Separator.East' 'Separator.West' 'Tank']
287,1665531.0,1679929.0,"['Separator.East', 'Wellhead.East', 'Wellhead.West']","[0.3487176, 0.3337236, 0.6443135999999999]",14398.0,3,False,True,['Separator.East' 'Wellhead.East' 'Wellhead.West']
293,1751937.0,1773535.0,"['Tank', 'Wellhead.East', 'Separator.East']","[0.2938824, 0.3324384000000001, 0.3482892000000001]",21598.0,3,False,False,['Separator.West' 'Tank' 'Wellhead.East']
301,1866604.0,1873802.0,"['Wellhead.West', 'Wellhead.East', 'Tank']","[1.8005652000000003, 0.7120008000000001, 4.9377384000000015]",7198.0,3,False,True,['Tank' 'Wellhead.East' 'Wellhead.West']
309,1956613.0,1981812.0,"['Wellhead.East', 'Separator.East', 'Tank']","[1.2492144, 1.1236932000000002, 4.6896948]",25199.0,3,False,True,['Separator.East' 'Tank' 'Wellhead.East']
320,2104227.0,2125825.0,"['Wellhead.East', 'Wellhead.West', 'Tank']","[0.3345804, 0.6614496000000001, 0.265608]",21598.0,3,False,False,['Separator.East' 'Wellhead.East' 'Wellhead.West']
327,2212233.0,2223031.0,"['Separator.West', 'Tank', 'Wellhead.East']","[0.6717312000000001, 0.2536128, 0.6644483999999999]",10798.0,3,False,False,['Separator.West' 'Wellhead.East' 'Wellhead.West']
328,2233834.0,2244606.0,"['Wellhead.West', 'Separator.West', 'Tank']","[0.8555147999999999, 0.6528816000000001, 0.1675044]",10772.0,3,False,True,['Separator.West' 'Tank' 'Wellhead.West']
335,2305839.0,2331006.0,"['Wellhead.West', 'Tank', 'Separator.East']","[0.6533100000000001, 0.2540412, 0.4206888000000001]",25167.0,3,False,False,['Separator.East' 'Wellhead.East' 'Wellhead.West']
340,2356244.0,2381443.0,"['Separator.West', 'Wellhead.West', 'Wellhead.East']","[0.381276, 0.8713656000000001, 0.4553892]",25199.0,3,False,False,['Separator.East' 'Wellhead.East' 'Wellhead.West']
360,2529007.0,2543405.0,"['Tank', 'Wellhead.East', 'Separator.West']","[0.1846404, 0.5727708, 0.5937623999999999]",14398.0,3,False,True,['Separator.West' 'Tank' 'Wellhead.East']
361,2550608.0,2565007.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.8426628, 0.7634088, 0.7060031999999999]",14399.0,3,False,False,['Separator.East' 'Tank' 'Wellhead.West']
368,2651416.0,2669415.0,"['Separator.West', 'Wellhead.West', 'Separator.East']","[1.8009936000000002, 1.897812, 1.9260864]",17999.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.West']
387,2903437.0,2932236.0,"['Tank', 'Separator.East', 'Wellhead.West']","[0.1679328, 0.4202604, 0.854658]",28799.0,3,False,False,['Separator.East' 'Wellhead.East' 'Wellhead.West']
392,2993443.0,3007842.0,"['Separator.East', 'Wellhead.East', 'Tank']","[0.8662247999999999, 1.555092, 4.3324092]",14399.0,3,False,True,['Separator.East' 'Tank' 'Wellhead.East']
485,3043807.0,3069726.0,"['Tank', 'Wellhead.East', 'Separator.East']","[0.09244872, 0.43495452, 0.5607756]",25919.0,3,False,False,['Separator.East' 'Wellhead.East' 'Wellhead.West']
506,3310897.0,3322235.0,"['Wellhead.West', 'Separator.West', 'Wellhead.East']","[0.7372764, 0.3410064, 0.4305420000000001]",11338.0,3,False,False,['Separator.West' 'Tank' 'Wellhead.East']
598,4231804.0,4246199.0,"['Separator.West', 'Separator.East', 'Wellhead.East']","[0.6503112, 0.6451704, 0.6524532000000001]",14395.0,3,False,False,['Separator.West' 'Tank' 'Wellhead.East']
612,4371014.0,4387212.0,"['Separator.East', 'Wellhead.East', 'Wellhead.West']","[0.6001884, 0.7038612000000001, 0.5620608]",16198.0,3,False,False,['Separator.West' 'Wellhead.East' 'Wellhead.West']
634,4644045.0,4654844.0,"['Tank', 'Separator.East', 'Separator.West']","[0.0891072, 0.7424172, 0.3054492]",10799.0,3,False,False,['Separator.East' 'Separator.West' 'Wellhead.East']
662,5067628.0,5081127.0,"['Wellhead.West', 'Tank', 'Separator.West']","[2.4920028000000003, 6.930655200000001, 0.5791968000000001]",13499.0,3,False,False,['Tank' 'Wellhead.East' 'Wellhead.West']
696,5618726.0,5632224.0,"['Tank', 'Wellhead.East', 'Separator.East']","[0.1722168, 0.6400296, 0.5539212]",13498.0,3,False,True,['Separator.East' 'Tank' 'Wellhead.East']
803,6930729.0,6950168.0,"['Separator.West', 'Separator.East', 'Wellhead.East']","[0.4802364, 0.7758324, 0.563346]",19439.0,3,False,True,['Separator.East' 'Separator.West' 'Wellhead.East']
