,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
4,7202.0,10800.0,"['Separator.West', 'Separator.East', 'Wellhead.West', 'Wellhead.East']","[0.5642028, 0.5449248000000001, 0.4798080000000001, 0.5530644000000001]",3598.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
38,79216.0,84605.0,"['Separator.East', 'Wellhead.West', 'Separator.West', 'Wellhead.East']","[1.3627404, 2.643228, 1.5628032, 0.7998228000000002]",5389.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
43,104426.0,108024.0,"['Separator.West', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[0.5577768, 0.4678128, 0.5367852, 0.5462100000000001]",3598.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
55,165645.0,171005.0,"['Separator.West', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[1.5469524, 2.6462268000000004, 1.3541724000000002, 0.7976808000000001]",5360.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
63,190851.0,194450.0,"['Separator.East', 'Separator.West', 'Wellhead.East', 'Wellhead.West']","[0.5355000000000001, 0.5560632000000001, 0.5432112, 0.4678128]",3599.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
73,252000.0,257405.0,"['Separator.West', 'Separator.East', 'Wellhead.West', 'Wellhead.East']","[1.5396696, 1.368738, 2.6457984000000003, 0.7933968]",5405.0,4,False,False,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
78,277203.0,280802.0,"['Wellhead.East', 'Separator.East', 'Wellhead.West', 'Separator.West']","[0.5496372, 0.5436396, 0.4703832000000001, 0.5616324]",3599.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
200,682210.0,689401.0,"['Wellhead.West', 'Separator.West', 'Wellhead.East', 'Separator.East']","[0.6717312000000001, 0.4588164, 0.3247272, 0.4198320000000001]",7191.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
201,689401.0,696608.0,"['Separator.East', 'Wellhead.East', 'Separator.West', 'Wellhead.West']","[0.4373964000000001, 0.3324384000000001, 0.4768092, 0.670446]",7207.0,4,False,False,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.West']
226,1053038.0,1060236.0,"['Wellhead.East', 'Separator.West', 'Separator.East', 'Wellhead.West']","[0.3538584, 0.387702, 0.3782772, 0.6610212]",7198.0,4,False,False,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
232,1135846.0,1146644.0,"['Separator.East', 'Wellhead.West', 'Wellhead.East', 'Separator.West']","[0.3534300000000001, 0.6528816000000001, 0.338436, 0.3671388]",10798.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
244,1237088.0,1262286.0,"['Separator.East', 'Separator.West', 'Tank', 'Wellhead.East']","[0.4519620000000001, 0.4939452, 0.2698920000000001, 0.4571028]",25198.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East']
250,1323493.0,1330691.0,"['Separator.East', 'Wellhead.East', 'Separator.West', 'Tank']","[0.351288, 0.3337236, 0.3658535999999999, 0.1769292]",7198.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East']
256,1384699.0,1399098.0,"['Wellhead.East', 'Tank', 'Wellhead.West', 'Separator.West']","[0.3324384000000001, 0.0929628, 0.6588792000000001, 0.3637115999999999]",14399.0,4,False,False,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
261,1460309.0,1467006.0,"['Wellhead.West', 'Separator.East', 'Tank', 'Wellhead.East']","[0.8645112, 0.7351344000000002, 0.287028, 0.8071056]",6697.0,4,False,True,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
267,1492713.0,1514312.0,"['Separator.East', 'Tank', 'Wellhead.West', 'Separator.West']","[0.3649968, 0.184212, 0.6550236, 0.3795624]",21599.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.West']
269,1525116.0,1539514.0,"['Separator.East', 'Wellhead.West', 'Separator.West', 'Tank']","[0.758268, 1.7795736000000002, 0.826812, 2.900268]",14398.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.West']
298,1845003.0,1855801.0,"['Wellhead.East', 'Separator.West', 'Separator.East', 'Wellhead.West']","[0.3358656, 0.366282, 0.3508596, 0.6408864000000001]",10798.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
315,2053822.0,2071803.0,"['Separator.East', 'Separator.West', 'Wellhead.East', 'Wellhead.West']","[0.8233848, 0.7788312, 1.2008052000000002, 3.3368076]",17981.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
317,2082625.0,2097023.0,"['Separator.East', 'Wellhead.West', 'Separator.West', 'Wellhead.East']","[0.3444336, 0.6657336, 0.3602844, 0.3285828]",14398.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
323,2158230.0,2172628.0,"['Wellhead.East', 'Separator.East', 'Wellhead.West', 'Separator.West']","[0.323442, 0.3285828, 0.6627348000000002, 0.3487176]",14398.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
331,2251836.0,2266234.0,"['Separator.East', 'Wellhead.West', 'Separator.West', 'Wellhead.East']","[0.3410064, 0.6490260000000001, 0.3564288, 0.327726]",14398.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
333,2269838.0,2298636.0,"['Wellhead.East', 'Separator.East', 'Tank', 'Wellhead.West']","[0.3474324, 0.4583879999999999, 0.3817044, 0.6276060000000001]",28798.0,4,False,True,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
339,2341843.0,2349041.0,"['Wellhead.East', 'Tank', 'Separator.West', 'Separator.East']","[0.349146, 0.4322556, 0.3885588000000001, 0.3714228]",7198.0,4,False,False,['Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
352,2417406.0,2442599.0,"['Wellhead.West', 'Tank', 'Wellhead.East', 'Separator.West']","[0.8627976, 0.179928, 0.5620608, 0.5851944]",25193.0,4,False,False,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
353,2453401.0,2471400.0,"['Wellhead.West', 'Tank', 'Separator.West', 'Wellhead.East']","[0.8679384000000001, 0.1859256, 0.5971896, 0.5757696]",17999.0,4,False,False,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
366,2622615.0,2640613.0,"['Tank', 'Separator.West', 'Wellhead.East', 'Separator.East']","[0.1752156, 0.6931512, 0.6785856000000001, 0.655452]",17998.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East']
373,2745023.0,2759421.0,"['Tank', 'Wellhead.West', 'Separator.West', 'Separator.East']","[2.2915116, 1.008882, 1.8061344, 1.1463984000000005]",14398.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.West']
376,2766626.0,2788224.0,"['Separator.West', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[0.5256468, 0.8627976, 0.494802, 0.499086]",21598.0,4,False,True,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
379,2795427.0,2820626.0,"['Tank', 'Wellhead.East', 'Separator.East', 'Separator.West']","[0.2750328, 0.5744844, 0.5757696, 0.5954760000000001]",25199.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East']
498,3252212.0,3265530.0,"['Wellhead.West', 'Wellhead.East', 'Tank', 'Separator.West']","[1.0414404, 1.5602328000000003, 2.4110352, 0.6515964000000001]",13318.0,4,False,True,['Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
501,3272734.0,3281399.0,"['Tank', 'Separator.West', 'Wellhead.West', 'Wellhead.East']","[0.0925344, 1.1558232, 0.7239960000000001, 0.73899]",8665.0,4,False,True,['Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
512,3373783.0,3385781.0,"['Tank', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[0.0903924, 0.7329924000000001, 0.3264408, 0.4292568]",11998.0,4,False,False,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
601,4274403.0,4284902.0,"['Wellhead.West', 'Separator.East', 'Wellhead.East', 'Tank']","[0.4549607999999999, 0.8208144, 0.4403952, 0.0933912]",10499.0,4,False,True,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
604,4288505.0,4311003.0,"['Separator.West', 'Wellhead.East', 'Tank', 'Separator.East']","[1.587222, 0.9270576, 2.6890668, 1.882818]",22498.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East']
626,4512634.0,4541432.0,"['Wellhead.East', 'Separator.East', 'Tank', 'Wellhead.West']","[0.4206888000000001, 0.3123036, 0.0908208, 1.0371564]",28798.0,4,False,True,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
646,4836603.0,4856402.0,"['Wellhead.East', 'Separator.East', 'Separator.West', 'Tank']","[0.4202604, 0.3101616, 0.3268692, 0.0903924]",19799.0,4,False,False,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
689,5507712.0,5519409.0,"['Separator.East', 'Wellhead.East', 'Tank', 'Wellhead.West']","[0.5877648000000001, 0.89964, 3.2147136000000005, 2.5262748]",11697.0,4,False,False,['Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
698,5635829.0,5664327.0,"['Tank', 'Wellhead.West', 'Separator.East', 'Wellhead.East']","[0.0916776, 0.9514764, 0.2673216, 0.4052664000000001]",28498.0,4,False,True,['Separator.East' 'Tank' 'Wellhead.East' 'Wellhead.West']
794,6827524.0,6841922.0,"['Tank', 'Wellhead.East', 'Separator.East', 'Separator.West']","[0.1687896, 0.3958416, 0.7706916, 0.5025132]",14398.0,4,False,False,['Separator.East' 'Separator.West' 'Wellhead.East' 'Wellhead.West']
811,7045937.0,7060336.0,"['Tank', 'Separator.East', 'Wellhead.East', 'Separator.West']","[0.0938195999999999, 0.3260124000000001, 0.4335408, 0.3474324]",14399.0,4,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East']
