,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
115,479618.0,504032.0,"['Wellhead.East', 'Tank', 'Separator.East', 'Wellhead.West', 'Separator.West']","[0.1957788, 0.4254012, 0.3050208000000001, 0.565488, 0.3311532]",24414.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
282,1629527.0,1639798.0,"['Wellhead.West', 'Wellhead.East', 'Separator.East', 'Separator.West', 'Tank']","[0.6438852, 0.3251556, 0.3375792, 0.3530015999999999, 0.17136]",10271.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
296,1812602.0,1834200.0,"['Separator.West', 'Wellhead.East', 'Wellhead.West', 'Tank', 'Separator.East']","[0.4622436, 0.4583879999999999, 0.6434568, 0.2985948, 0.4206888000000001]",21598.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
303,1877406.0,1899000.0,"['Wellhead.East', 'Separator.East', 'Separator.West', 'Tank', 'Wellhead.West']","[1.3126176000000005, 0.9090648, 1.8348372, 2.9533896000000004, 1.7984232]",21594.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
306,1924211.0,1949409.0,"['Separator.East', 'Wellhead.West', 'Wellhead.East', 'Separator.West', 'Tank']","[0.3825612, 0.6494544000000001, 0.3564288, 0.3954132000000001, 0.2831724]",25198.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
381,2827830.0,2849405.0,"['Wellhead.East', 'Wellhead.West', 'Tank', 'Separator.West', 'Separator.East']","[0.4211172, 0.7179984000000001, 0.089964, 0.4493916, 0.3735648000000001]",21575.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
390,2964641.0,2986240.0,"['Separator.East', 'Tank', 'Wellhead.East', 'Separator.West', 'Wellhead.West']","[0.3581424, 0.0933912, 0.3358656, 0.4909464000000001, 0.7124291999999999]",21599.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
669,5117440.0,5126438.0,"['Separator.East', 'Tank', 'Wellhead.East', 'Wellhead.West', 'Separator.West']","[0.2566116, 0.089964, 0.3949848000000001, 0.4699548000000001, 0.2831724]",8998.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
713,5848858.0,5869856.0,"['Wellhead.East', 'Separator.West', 'Separator.East', 'Wellhead.West', 'Tank']","[0.40475232, 0.30622032, 0.28591416, 0.30669156, 0.08747928]",20998.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
721,5981473.0,6010271.0,"['Separator.East', 'Wellhead.East', 'Separator.West', 'Wellhead.West', 'Tank']","[0.2643228, 0.4031244, 0.2283372, 0.4511052, 0.0912492]",28798.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
748,6137411.0,6150610.0,"['Wellhead.East', 'Tank', 'Wellhead.West', 'Separator.West', 'Separator.East']","[0.3966984, 0.2510424, 0.372708, 0.2887416, 0.2574684]",13199.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
772,6499849.0,6528347.0,"['Separator.East', 'Wellhead.East', 'Wellhead.West', 'Tank', 'Separator.West']","[0.2895984, 0.4438224, 0.3547152, 0.09639, 0.317016]",28498.0,5,False,True,['Separator.East' 'Separator.West' 'Tank' 'Wellhead.East' 'Wellhead.West']
